,ID,TITLE,URL,PUBLISHER,CATEGORY,STORY,HOSTNAME,TIMESTAMP
108758,108955,"'Mad Men' Preview: Buckle Up For 7 'Dense' Episodes, Says Matthew Weiner",http://variety.com/2014/tv/news/mad-men-preview-buckle-up-for-7-dense-episodes-says-matthew-weiner-1201156392/,Variety,e,dltFJk9CHTWRCIM2p0YDp-WFshLTM,variety.com,1397406166710
195407,195843,Here's How Climate Change Will Make Food Less Nutritious,http://www.takepart.com/article/2014/05/08/climate-change-and-nutrition,TakePart,m,d-RbFiu4YqJl6nM62L0H3KPzkejNM,www.takepart.com,1399578158843
195410,195846,"Rising carbon dioxide levels reduce nutrients in crops, study finds",http://dailydigestnews.com/2014/05/rising-carbon-dioxide-levels-reduce-nutrients-in-crops-study-finds/,Daily Digest,m,d-RbFiu4YqJl6nM62L0H3KPzkejNM,dailydigestnews.com,1399578159490
108790,108987,'Mad Men' mixology,http://www.registerguard.com/rg/life/weekend/31316408-289/bitters-add-glass-mad-lemon.html.csp,The Register-Guard,e,dltFJk9CHTWRCIM2p0YDp-WFshLTM,www.registerguard.com,1397406175068
108757,108954,'Mad Men' end in sight for Weiner,http://www.theday.com/article/20140413/ENT13/304139980/1044/ent,TheDay.com,e,dltFJk9CHTWRCIM2p0YDp-WFshLTM,www.theday.com,1397406166492
108850,109047,'Mad Men': 7 things to know for Season 7,http://www.stevenspointjournal.com/usatoday/article/7493901,Stevenspointjournal,e,dltFJk9CHTWRCIM2p0YDp-WFshLTM,www.stevenspointjournal.com,1397406194463
252199,252645,"Power restored to nuclear plant in Waterford, Connecticut after outage",http://7online.com/news/power-outage-at-connecticut-nuclear-plant/77324/,WABC-TV,b,d8AwjSuisksipoMiQ4I-epaD_lk1M,7online.com,1401158330320
367513,367973,"Sony makes duckfacing official with Xperia C3, the first selfie smartphone",http://gearburn.com/2014/07/sony-makes-duckfacing-official-with-xperia-c3-the-first-selfie-smartphone/,gearburn,t,d5nWkuuINLvyOvMJsEqBE_4JTJmjM,gearburn.com,1404826263006
223142,223588,"Cable prices climb 4 times faster than inflation, even with competition",http://www.fiercecable.com/story/cable-prices-climb-4-times-faster-inflation-even-competition/2014-05-19,FierceCable,b,d85sZg0ywivMs2MRloSfmtitXaKsM,www.fiercecable.com,1400578889432
108845,109042,Mad Men - the (Blaxploitation) Movie,http://creativity-online.com/work/leroy--clarkson-mad-men-parody-blaxploitation/34816,Creativity,e,dltFJk9CHTWRCIM2p0YDp-WFshLTM,creativity-online.com,1397406192947
337769,338229,Doctors against having frequent pelvic exams,http://www.techsonia.com/doctors-against-having-frequent-pelvic-exams/1916788/,Techsonia,m,d2popbipDBWjcXMHN5LREFUB9ARnM,www.techsonia.com,1404174918483
