ID,TITLE,URL,PUBLISHER,CATEGORY,STORY,HOSTNAME,TIMESTAMP
95457,Shoppers feeling pinch of pig virus,http://www.journalgazette.net/article/20140409/NEWS03/304099984,Fort Wayne Journal Gazette,b,dpAEIcSqMzl1IIM7zVrXtYIjYjfaM,www.journalgazette.net,1397066066963
210422,5 lessons from Solange attack video,http://thegrio.com/2014/05/13/solange-attack-video-lessons/,The Grio,e,dku0uRoeehpC9JM1RoZ4n0fg8cyoM,thegrio.com,1399983278361
270234,Meet 'Jeopardy's' winningest woman: Julia Collins,http://www.washingtonpost.com/news/morning-mix/wp/2014/06/03/meet-jeopardys-winningest-woman-julia-collins/\?tid=hp_mm,Washington Post,e,dj7TT9bgE1YYxQMom2ZsBtFWn96ZM,www.washingtonpost.com,1401826499257
325336,Movie review: Age of Extinction is only for die-hard Transformers fans,http://www.hindustantimes.com/entertainment/reviews/movie-review-of-transformers-cinema-enters-the-age-of-extinction/article1-1234263.aspx,Hindustan Times,e,dC_oJ7bqiVUHtdMcB2U1Hvx_z5ghM,www.hindustantimes.com,1403872371599
407964,Nick Viall Posts Heartfelt Message Amid 'Bachelorette 2014' Finale: 'Love Is  ...,http://www.fashiontimes.com/articles/10307/20140729/nick-viall-posts-heartfelt-message-amid-bachelorette-2014-finale-love.htm,Fashion Times,e,d2fbVNrDY9qZKPMq1rYyKPi5A40_M,www.fashiontimes.com,1406870059277
87469,Japan-Australia deal makes TPP even more important,http://www.scoop.co.nz/stories/BU1404/S00262/japan-australia-deal-makes-tpp-even-more-important.htm,Scoop.co.nz \(press release\),b,dMpUr26gw0stjNMxssp16uFW2ofcM,www.scoop.co.nz,1396929747116
37032,De Niro's Tribeca sells 50 percent stake to MSG,http://www.silive.com/news/index.ssf/2014/03/de_niros_tribeca_sells_50_perc.html,SILive.com,e,dnarXPO3QPc-aCMK1PH3EFV0AN9WM,www.silive.com,1395628797091
63295,'Here We Are Now': 20 years after Kurt Cobain's death,http://seattletimes.com/html/books/2023240238_kurtcobainbookreview1xml.html\?cmpid=2628,The Seattle Times,e,dI651eAoYqMX0iMwTfqQpgnyMV7FM,seattletimes.com,1396080756443
81315,Tax Hikes,,,,,,
30207,200000 lost bitcoins found,http://www.cbronline.com/news/tech/software/e-commerce/mtgox-finds-200000-lost-bitcoins-210314-4201202,Computer Business Review,b,d4Ctvi87pUp0TVMwcVQTazB5nrbsM,www.cbronline.com,1395508599774
312708,Nest thermostat to work with wearables,,,,,,
307523,'Alstom should be a good investment',http://www.iol.co.za/business/companies/alstom-should-be-a-good-investment-1.1707933,Independent Online,b,d1a1IIfiPMpFXEM0ReWPpcyvnBu6M,www.iol.co.za,1403535718908
326831,Philip Morris Sees $700 Million Boost From iQOS Smoking Device,http://www.swissinfo.ch/eng/philip-morris-sees--700-million-boost-from-iqos-smoking-device/40475814,swissinfo.ch,b,de0hEyu1vVgyEYMK3-2n9TtMqB7LM,www.swissinfo.ch,1403920911648
44429,You are here: Home»Games»Is the maker of Candy Crush Saga worth $7bn?,http://www.fudzilla.com/home/item/34316-is-the-maker-of-candy-crush-saga-worth-$7bn,Fudzilla,b,dznUPuCA2r4BO-MHJu8e2YbcMy2tM,www.fudzilla.com,1395826865399
137839,Gwen Stefani Joins The Voice: Report,http://www.gossipcop.com/gwen-stefani-the-voice-season-7-replacing-christina-aguilera-replacement/,GossipCop,e,ddyxyFpIN1_xASMQ3Kws3z-lKYbGM,www.gossipcop.com,1397895622877
113892,Data of About 900 Canadians Taken in Heartbleed Breach -- Update,http://online.wsj.com/article/BT-CO-20140414-710016.html,Wall Street Journal,t,dJYf7c6qUaUUdpMp1zsT9g8ZNP3fM,online.wsj.com,1397516379229
219915,three suspects in custody in mine disaster probe,http://www.lfpress.com/2014/05/18/turkish-police-detain-18-people-in-mine-disaster-probe,London Free Press,b,ddi_hHIKv9gDjHM6Cz0A7iZcabVkM,www.lfpress.com,1400511665844
68749,Report: Yahoo Considering to Create Its Own Version of YouTube,http://www.escapistmagazine.com/news/view/133365-Report-Yahoo-Considering-to-Create-Its-Own-Version-of-YouTube,The Escapist,t,dkQ-Bm0mtbeQ0XMHIpUK27hZV1DnM,www.escapistmagazine.com,1396233458263
335018,WWE Rumors: SummerSlam 2014 Main Event Possibly Spoiled By DVD Cover,http://www.rantsports.com/pro-wrestling/2014/06/25/wwe-rumors-summerslam-2014-main-event-possibly-spoiled-by-dvd-cover/,Rant Sports,b,dZUy5eJ7UG3BZEMQTo0u9JAvNwbnM,www.rantsports.com,1404150431606
343698,Oscar Pistorius' Agent Claims Runner Planned International Trips With Girlfriend,http://www.theepochtimes.com/n3/780551-oscar-pistorius-agent-claims-runner-planned-international-trips-with-girlfriend/,The Epoch Times,m,d5mPtkpIhp98-jMpphYT3Vfx8JMyM,www.theepochtimes.com,1404263263662
141176,China auto show opens amid environmental,,,,,,
145057,Nashville's per-gallon gas price average increases 2 cents,http://nashvillepost.com/blogs/postbusiness/2014/4/21/nashvilles_per_gallon_gas_price_average_increases_2_cents,Nashville Post \(subscription\) \(blog\),t,dr3nC-otCKdjPmMvhN09CndE0zw9M,nashvillepost.com,1398108676553
391339,Google (GOOG) Releases Quarterly Earnings Results,,,,,,
52487,Google Transparency Report: US Made More Requests For User Data Than  ...,http://www.ibtimes.com/google-transparency-report-us-made-more-requests-user-data-next-5-countries-combined-1563932,International Business Times,t,d69b04PmdhYtjoM0RxxIJsHX1Vk7M,www.ibtimes.com,1395955764220
170957,Target Appoints New CIO,,,,,,
61114,Tesla Makes Deal To Save Its New York Stores,http://www.businessinsider.in/Tesla-Makes-Deal-To-Save-Its-New-York-Stores/articleshow/32868543.cms,Businessinsider India,b,dBgycMNj3Es9QhM1Kwui0FARvj9HM,www.businessinsider.in,1396069989219
285446,Ruby Dee,,,,,,
104478,Food Poisoning Risk Higher in Restaurant Food,http://www.scienceworldreport.com/articles/13937/20140409/food-poisoning-risk-may-be-higher-in-a-restaurant-than-at-home.htm,Science World Report,m,dRXovvp3PWwGsiMEosO8TzJijWqBM,www.scienceworldreport.com,1397301306642
140039,How To Beat the Heartbleed Bug,http://www.newsfactor.com/story.xhtml\?story_id=103009GUDAEU,NewsFactor Network,t,dPMuTXUDhd7mYTMlsU9aXhqpbl2_M,www.newsfactor.com,1397949153409
417759,Obama and Burger King Demagoguery,http://www.commentarymagazine.com/2014/08/26/obama-and-burger-king-demagoguery-taxes-warren-buffett/,Commentary Magazine,b,dPjRYZE_1e6dSgM971J1Vu6D8rqmM,www.commentarymagazine.com,1409159741474
159663,PHOTOS: Bangladesh marks one year since the Rana Plaza factory disaster,http://photos.mercurynews.com/2014/04/24/photos-bangladesh-marks-one-year-since-the-rana-plaza-factory-disaster/,San Jose Mercury News media center,b,dVSyQTtV6UtRCTMcxhoiVo9jFnNdM,photos.mercurynews.com,1398396028024
365082,Report: Smartphones Surge Continues as PC Decline Slows,http://campustechnology.com/articles/2014/07/07/report-smartphones-continue-to-surge-as-pc-decline-slows.aspx\?admgarea=news,Campus Technology,t,dg2vO2JeeWXmD1Ml1zpK3btEM8Y1M,campustechnology.com,1404760224817
44792,Alfa Romeo Reportedly Preparing Seven New Models,,,,,,
254078,Khloe Kardashian After Kim Kardashian's Wedding -- The Party's Over,http://www.tmz.com/2014/05/26/khloe-kardashian-new-york-airport-kris-jenner-kendall-kylie-lax/,TMZ.com,e,d-iRGCe3kU4MCyMCkh4ONS3Op2c2M,www.tmz.com,1401168445126
